Tag;Feature;Applied regardless of Filesize limit
AMCACHE;Amcache;no
BZIP2COMPRESSEDFILE;Archive;no
CABARCHIVE;Archive;no
GZIPCOMPRESSEDFILE;Archive;no
RARARCHIVE;Archive;no
SEVENZIPARCHIVE;Archive;no
TARARCHIVE;Archive;no
TARBZ2ARCHIVE;Archive;no
TARGZARCHIVE;Archive;no
ZIPARCHIVE;Archive;no
ATJOBS;AtJobs;yes
AUDITLOG;Auditlog;yes
AUTHORIZEDKEYS;AuthorizedKeys;yes
CHM;CHM;yes
SYSTEMCRONTAB;Crontab;yes
USERCRONTAB;Crontab;yes
DUMPSCAN;DumpScan;yes
EMAILFILE;EmailParser;no
ESEDB;EseDB;yes
ETL;ETL;yes
EVTX;EVTX;yes
UPX;ExeDecompress;no
WINRAR;ExeDecompress;no
GROUPSXML;GroupsXML;yes
ICS;ICS;no
JOURNALD;JournalD;yes
JUMPLIST;JumpList;no
LNK;LinkScan;yes
LOGSCAN;LogScan;yes
MFT;MftFile;yes
PSMODULECACHE;ModuleAnalysisCache;no
OLE;OleScan;no
PREFETCHFILE;Prefetch;yes
QUARANTINEDB;QuarantineDB;yes
REGISTRYHIVE;RegistryHive;yes
SDB;ShimDB;no
UNESCAPE;Unescaper;no
VBEDECODER;VBE;no
TOMCATUSERS;VulnerabilityCheck;yes
SQLITEDB;WebHistory (only in deep mode);yes
CHROMEHISTORY;WebHistory;yes
FIREFOXHISTORY;WebHistory;yes
WER;WER;yes
WMIPERSISTENCE;WMIPersistence;yes
